Genus	Phylum	Status	Source
Phellodon	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Phialocephala	Ascomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Phialophora	Ascomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; http://mycorrhizas.info/ecmf.html"
Phlebopus	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM/Not ECM); http://mycorrhizas.info/ecmf.html (ECM)"
Phylloporus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Phyloboletellus	Basidiomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (not ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (ECM)"
Picoa	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Piloderma	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Pisolithus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Plicaria	Ascomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
