Genus	Phylum	Status	Source
Acephala	Ascomycota	Possible	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (ECM/Not ECM)"
Afroboletus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Albatrellus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Alnicola	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Alpova	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Amanita	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Amarrendia	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html"
Amaurodon	Basidiomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Amphinema	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Amylascus	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Anamika	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Andebbia	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Arcangeliella	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Aroramyces	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Astraeus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Astrosporina	Basidiomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Aureoboletus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Auritella	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Austroboletus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Austrogaster	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; http://mycorrhizas.info/ecmf.html"
Austrogautieria	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Austropaxillus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Balsamia	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Bankera	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Barssia	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Boletellus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Boletinus	Basidiomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Boletochaete	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; http://mycorrhizas.info/ecmf.html"
Boletopsis	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Boletus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Bothia	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Boughera	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (NA)"
Brauniellula	Basidiomycota	Possible	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (pro parte)"
Byssocorticium	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Byssoporia	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Cadophora	Ascomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Calostoma	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Cantharellus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Castoreum	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Catathelasma	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Cazia	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Cenococcum	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Ceratobasidium	Basidiomycota	Possible	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (pro parte)"
Chalciporus	Basidiomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Chamonixia	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Chloridium	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Chlorogaster	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Choiromyces	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Chondrogaster	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Chromelosporium	Ascomycota	Possible	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (pro parte)"
Chroogomphus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Clavariadelphus	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (pro parte); http://mycorrhizas.info/ecmf.html"
Clavulina	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Coltricia	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Coltriciella	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Corditubera	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Corneroboletus	Basidiomycota	Highly Probable	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Cortinarius	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Craterellus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Craterocolla	Basidiomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Cribbea	Basidiomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Cuphocybe	Basidiomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Cystangium	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Cystogomphus	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Delastria	Ascomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Densospora	Zygomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (not ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (ECM)"
Dermocybe	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Descolea	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Descomyces	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Destuntzia	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; http://mycorrhizas.info/ecmf.html"
Dingleya	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Diplocystis	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Durianella	Basidiomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
ECM	Unkown	Highly Probable	Keyword
Ectomycorrhizal	Unkown	Highly Probable	Keyword
Efibulobasidium	Basidiomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Elaphomyces	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Endogone	Zygomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (pro parte); http://mycorrhizas.info/ecmf.html"
Entoloma	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM/Not ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/Not ECM)"
Eremiomyces	Ascomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Fevansia	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Fischerula	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Fistulinella	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Fuscoboletinus	Basidiomycota	Probable	http://mycorrhizas.info/ecmf.html
Fuscogyroporus	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Galactinia	Ascomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Gallacea	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gastroboletus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gastrolactarius	Basidiomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Gastroleccinum	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Gastrosuillus	Basidiomycota	Highly Probable	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Gastrotylopilus	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; http://mycorrhizas.info/ecmf.html"
Gautieria	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Genabea	Ascomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Genea	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Geopora	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Geopyxis	Ascomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Gigasperma	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Gilkeya	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Gliophorus	Basidiomycota	Possible	http://mycorrhizas.info/ecmf.html
Glischroderma	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Gloeocantherellus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Gomphidius	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gomphus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gompogaster	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Gummiglobus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gummivena	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Gymnogaster	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; http://mycorrhizas.info/ecmf.html"
Gymnohydnotrya	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Gymnomyces	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gymnopaxillus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Gyrodon	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (sensu stricto)"
Gyromitra	Ascomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Gyroporus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hallingea	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Hebeloma	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Heimielia	Basidiomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Heimioporus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Helvella	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hemileccinum	Basidiomycota	Highly Probable	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Hoehnelogaster	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (NA)"
Horakiella	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; http://mycorrhizas.info/ecmf.html"
Humaria	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hydnangium	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hydnellum	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hydnobolites	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Hydnocystis	Ascomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (pro parte)"
Hydnoplicata	Ascomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Hydnotrya	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hydnotryopsis	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Hydnum	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hygrophorus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hymenogaster	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM/Not ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/Not ECM)"
Hysterangium	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hysterogaster	Basidiomycota	Probable	http://mycorrhizas.info/ecmf.html
Imaia	Ascomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Inocybe	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Kalaharituber	Ascomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Kalapuya	Ascomycota	Highly Probable	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Labyrinthomyces	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Laccaria	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Lachnea	Ascomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Lactarius	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Lactifluus	Basidiomycota	Highly Probable	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Leccinellum	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Leccinum	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
